id_pedido,cliente_id,cliente_nombre,cliente_genero,cliente_edad,cliente_grupo_etario,zona,fecha,mes,dia_semana,es_fin_de_semana,estado,metodo_pago,tipo_vehiculo,monto,costo_operacion,margen_bruto,tiempo_entrega_minutos,latitud,longitud,fecha_creacion,fecha_entrega,repartidor_nombre
bce3cc09-2fca-45ff-9a81-465df6a4da99,cde4c37d-3d93-402d-8476-5ac08324b8fc,Marta Gonzalez,Male,49,36-50,Sur,2026-07-28,Julio,Martes,False,en_camino,app,moto_electrica,41468.19,9741.44,31726.75,,6.158379,-75.608394,2026-07-28 22:01:16+00:00,,Jorge Gonzalez
5ea5bab8-9c62-4d83-98d0-1b9dbfd87bb9,2bcc12cb-5d87-4176-a287-3a2aee9351e5,Luis Rodriguez,Female,50,36-50,Occidente,2026-07-29,Julio,Miércoles,False,entregado,app,bicicleta,24117.68,4682.45,19435.23,45.0,6.273562,-75.615582,2026-07-29 00:41:04+00:00,2026-07-29 01:26:04+00:00,Lucia Lopez
2d602317-e58d-49e6-84f7-90d2d57e59f2,3846dadb-18c0-49fe-9be8-725b48a79373,Sofia Garcia,Male,67,50+,Centro,2026-07-29,Julio,Miércoles,False,entregado,efectivo,moto_electrica,89302.27,20692.47,68609.80,37.0,6.244930,-75.568105,2026-07-29 00:45:41+00:00,2026-07-29 01:22:41+00:00,Luis Perez
22c01f43-a611-4d59-9f98-04fffeddb43a,5a53097d-77e6-43e0-970b-3e537f059cf8,Diego Lopez,Male,35,26-35,Occidente,2026-07-29,Julio,Miércoles,False,entregado,app,moto_electrica,69390.07,16736.80,52653.27,33.0,6.259660,-75.606214,2026-07-29 00:47:24+00:00,2026-07-29 01:20:24+00:00,Jorge Lopez
9563c2a0-c3a6-41e5-96db-a390ce5b2ac9,33d96349-be47-4ec3-a139-34ca61add917,Pedro Perez,Female,56,50+,Chapinero,2026-07-29,Julio,Miércoles,False,entregado,app,bicicleta,61652.70,14281.04,47371.66,41.0,6.269740,-75.540444,2026-07-29 01:28:31+00:00,2026-07-29 02:09:31+00:00,Jorge Gomez
11adaeb9-d82d-4628-bc16-871f4c17f5ed,85376b3d-bf0a-462c-9812-374620e92e59,Jorge Garcia,Female,72,50+,Norte,2026-07-29,Julio,Miércoles,False,entregado,efectivo,moto_electrica,70358.95,12838.34,57520.61,45.0,6.272033,-75.557094,2026-07-29 01:37:48+00:00,2026-07-29 02:22:48+00:00,Luis Garcia
74a5483c-f19e-41a6-af13-bc2e3c22c1b9,6c7dcc33-6f64-4bae-a30c-600099b54f33,Camila Martinez,Female,46,36-50,Occidente,2026-07-29,Julio,Miércoles,False,entregado,efectivo,moto_electrica,89117.52,15331.91,73785.61,25.0,6.249864,-75.602802,2026-07-29 01:55:12+00:00,2026-07-29 02:20:12+00:00,Jorge Martinez
f1a4b277-d4c1-4cac-aa41-deca38e9dc72,06e97137-7dac-45fd-8c25-3d5ffc2931e2,Valentina Martinez,Female,53,50+,Norte,2026-07-29,Julio,Miércoles,False,en_camino,app,bicicleta,56841.60,9953.23,46888.37,,6.284311,-75.574955,2026-07-29 02:09:42+00:00,,Jorge Gomez
cc35f629-5262-47ff-8fed-3ddd9f7033f0,6a3ea9aa-61e6-4a9b-bb8a-673c32bd53e3,Sofia Gonzalez,Female,54,50+,Sur,2026-07-29,Julio,Miércoles,False,entregado,app,bicicleta,23298.70,4012.79,19285.91,42.0,6.161164,-75.607542,2026-07-29 02:38:18+00:00,2026-07-29 03:20:18+00:00,Luis Perez
5fce905a-826b-453f-a091-80c34e37f031,532946ef-c978-4995-b94c-d3c989755106,Ana Gonzalez,Female,57,50+,Occidente,2026-07-29,Julio,Miércoles,False,entregado,tarjeta,bicicleta,15239.00,3086.60,12152.40,38.0,6.231567,-75.591519,2026-07-29 03:14:56+00:00,2026-07-29 03:52:56+00:00,Marta Lopez
54d46d2d-2c4a-41e4-8a51-d3f8b2e5b41d,501d52ea-dd62-4c6b-b43e-eb3cd5fa2d37,Maria Rodriguez,Male,59,50+,Norte,2026-07-29,Julio,Miércoles,False,entregado,efectivo,bicicleta,59556.84,11909.46,47647.38,48.0,6.297943,-75.574208,2026-07-29 03:17:54+00:00,2026-07-29 04:05:54+00:00,Luis Lopez
e36d194e-9667-49cb-8249-da12f85f1018,a07da55a-88bb-45a6-9d6f-bfdacccc0991,Marta Martinez,Male,72,50+,Norte,2026-07-29,Julio,Miércoles,False,entregado,app,bicicleta,31602.41,7504.00,24098.41,47.0,6.280316,-75.578721,2026-07-29 03:34:48+00:00,2026-07-29 04:21:48+00:00,Andres Gomez
