id,email,hashed_password,full_name,role,is_active,is_verified,created_at,updated_at
cab0f77c-6a9c-4833-ab98-ff5e181a7e8c,diego.gonzalez7@ecodelivery.local,"$argon2id$v=19$m=65536,t=3,p=4$DUMMY_HASH_PARA_MIGRACION$dummy",Diego Gonzalez,cliente,True,True,2026-08-27 20:13:02+0000,2026-08-27 20:13:02+0000
8b9a8480-24e2-4d18-aa2c-dd9488b5a08f,carlos.perez63@ecodelivery.local,"$argon2id$v=19$m=65536,t=3,p=4$DUMMY_HASH_PARA_MIGRACION$dummy",Carlos Perez,cliente,True,True,2026-08-27 20:13:02+0000,2026-08-27 20:13:02+0000
0bf86823-cb4c-48f8-8917-ae330525c6d5,diego.gonzalez10@ecodelivery.local,"$argon2id$v=19$m=65536,t=3,p=4$DUMMY_HASH_PARA_MIGRACION$dummy",Diego Gonzalez,cliente,True,True,2026-08-27 20:13:02+0000,2026-08-27 20:13:02+0000
157a44e6-6bcc-45ef-b789-e6ee479dee83,sofia.rodriguez12@ecodelivery.local,"$argon2id$v=19$m=65536,t=3,p=4$DUMMY_HASH_PARA_MIGRACION$dummy",Sofia Rodriguez,cliente,True,True,2026-08-27 20:13:02+0000,2026-08-27 20:13:02+0000
d9b324e7-1d27-48a5-b73a-8850b01f1da7,valentina.rodriguez61@ecodelivery.local,"$argon2id$v=19$m=65536,t=3,p=4$DUMMY_HASH_PARA_MIGRACION$dummy",Valentina Rodriguez,cliente,True,True,2026-08-27 20:13:02+0000,2026-08-27 20:13:02+0000
bce090af-1112-4cbd-bbaa-873467f9a4fd,sofia.martinez52@ecodelivery.local,"$argon2id$v=19$m=65536,t=3,p=4$DUMMY_HASH_PARA_MIGRACION$dummy",Sofia Martinez,cliente,True,True,2026-08-27 20:13:02+0000,2026-08-27 20:13:02+0000
3f8d1bde-b423-4744-8ce5-b3e0ca57dbac,sofia.gomez56@ecodelivery.local,"$argon2id$v=19$m=65536,t=3,p=4$DUMMY_HASH_PARA_MIGRACION$dummy",Sofia Gomez,cliente,True,True,2026-08-27 20:13:02+0000,2026-08-27 20:13:02+0000
c0865051-d7c6-4a00-b5f5-c553e05e7b6f,marta.rodriguez15@ecodelivery.local,"$argon2id$v=19$m=65536,t=3,p=4$DUMMY_HASH_PARA_MIGRACION$dummy",Marta Rodriguez,cliente,True,True,2026-08-27 20:13:02+0000,2026-08-27 20:13:02+0000
cde4c37d-3d93-402d-8476-5ac08324b8fc,marta.gonzalez49@ecodelivery.local,"$argon2id$v=19$m=65536,t=3,p=4$DUMMY_HASH_PARA_MIGRACION$dummy",Marta Gonzalez,cliente,True,True,2026-08-27 20:13:02+0000,2026-08-27 20:13:02+0000
da8767ea-5f63-4a99-97c2-d4b473af120b,andres.gomez52@ecodelivery.local,"$argon2id$v=19$m=65536,t=3,p=4$DUMMY_HASH_PARA_MIGRACION$dummy",Andres Gomez,cliente,True,True,2026-08-27 20:13:02+0000,2026-08-27 20:13:02+0000
641ead09-0b8f-4038-8289-ef1f96225b9d,maria.lopez60@ecodelivery.local,"$argon2id$v=19$m=65536,t=3,p=4$DUMMY_HASH_PARA_MIGRACION$dummy",Maria Lopez,cliente,True,True,2026-08-27 20:13:02+0000,2026-08-27 20:13:02+0000
33d96349-be47-4ec3-a139-34ca61add917,pedro.perez3@ecodelivery.local,"$argon2id$v=19$m=65536,t=3,p=4$DUMMY_HASH_PARA_MIGRACION$dummy",Pedro Perez,cliente,True,True,2026-08-27 20:13:02+0000,2026-08-27 20:13:02+0000
64402c49-ecbf-46cc-87ae-13215db14f7d,valentina.gomez34@ecodelivery.local,"$argon2id$v=19$m=65536,t=3,p=4$DUMMY_HASH_PARA_MIGRACION$dummy",Valentina Gomez,cliente,True,True,2026-08-27 20:13:02+0000,2026-08-27 20:13:02+0000
a28985ff-49c5-4625-acee-adacb4e59154,juan.gonzalez24@ecodelivery.local,"$argon2id$v=19$m=65536,t=3,p=4$DUMMY_HASH_PARA_MIGRACION$dummy",Juan Gonzalez,cliente,True,True,2026-08-27 20:13:02+0000,2026-08-27 20:13:02+0000
a4be7243-5dfa-45d2-818a-54607daa3daa,ana.lopez20@ecodelivery.local,"$argon2id$v=19$m=65536,t=3,p=4$DUMMY_HASH_PARA_MIGRACION$dummy",Ana Lopez,cliente,True,True,2026-08-27 20:13:02+0000,2026-08-27 20:13:02+0000
06e97137-7dac-45fd-8c25-3d5ffc2931e2,valentina.martinez73@ecodelivery.local,"$argon2id$v=19$m=65536,t=3,p=4$DUMMY_HASH_PARA_MIGRACION$dummy",Valentina Martinez,cliente,True,True,2026-08-27 20:13:02+0000,2026-08-27 20:13:02+0000
1bb9fc1b-4864-44ef-a2b3-5ea92d0e0afa,laura.gonzalez66@ecodelivery.local,"$argon2id$v=19$m=65536,t=3,p=4$DUMMY_HASH_PARA_MIGRACION$dummy",Laura Gonzalez,cliente,True,True,2026-08-27 20:13:02+0000,2026-08-27 20:13:02+0000
